policy,episode,total_runtime,total_tasks_created,total_tasks_accepted,total_tasks_skipped,total_tasks_completed,total_reward,avg_queue_time,avg_load_imbalance,server_0_selection,server_1_selection,server_2_selection
Round Robin,35,0.06349301338195801,300,300,0,300,-314.72263,321.2544444444443,8.391083644348479,100.0,100.0,100.0
Round Robin,36,0.06405496597290039,300,300,0,300,-323.03775,326.5233333333333,9.365057785628853,100.0,100.0,100.0
Round Robin,37,0.0795135498046875,300,300,0,300,-331.21375,327.3788888888891,11.593391429634854,100.0,100.0,100.0
Round Robin,38,0.06436824798583984,300,300,0,300,-321.45392,326.8288888888889,8.846285289842761,100.0,100.0,100.0
Round Robin,39,0.07927227020263672,300,300,0,300,-319.22278,319.2466666666666,10.15898200875454,100.0,100.0,100.0
Round Robin,40,0.0633385181427002,300,300,0,300,-323.3308,326.7433333333334,10.198424329993808,100.0,100.0,100.0
Round Robin,41,0.07087516784667969,300,300,0,300,-339.83807,332.6166666666668,11.97961859666008,100.0,100.0,100.0
Round Robin,42,0.0725710391998291,300,300,0,300,-338.81976,332.26666666666665,13.041693112433649,100.0,100.0,100.0
Round Robin,43,0.08017277717590332,300,300,0,300,-323.7503,327.52333333333314,9.060888710200588,100.0,100.0,100.0
Round Robin,44,0.0790092945098877,300,300,0,300,-353.2802,338.9433333333332,16.620280531734746,100.0,100.0,100.0
Round Robin,45,0.06875371932983398,300,300,0,300,-323.73492,334.98444444444465,7.449551851231049,100.0,100.0,100.0
Round Robin,46,0.10716772079467773,300,300,0,300,-324.57095,326.65000000000026,9.742443623932836,100.0,100.0,100.0
Round Robin,47,0.07816910743713379,300,300,0,300,-321.22037,320.41777777777787,10.324784554344577,100.0,100.0,100.0
Round Robin,48,0.06352615356445312,300,300,0,300,-331.22318,321.7166666666666,12.343608311003068,100.0,100.0,100.0
Round Robin,49,0.0797872543334961,300,300,0,300,-332.18967,309.86888888888893,15.36828933405184,100.0,100.0,100.0
Round Robin,50,0.07194805145263672,300,300,0,300,-352.86322,318.68222222222226,19.921991867635853,100.0,100.0,100.0
Round Robin,51,0.07084918022155762,300,300,0,300,-331.66693,330.48111111111103,10.469018263457967,100.0,100.0,100.0
Round Robin,52,0.0634458065032959,300,300,0,300,-352.64368,323.78888888888883,18.8382976366114,100.0,100.0,100.0
Round Robin,53,0.07927489280700684,300,300,0,300,-306.64148,313.64777777777783,8.471557083817434,100.0,100.0,100.0
Round Robin,54,0.08689689636230469,300,300,0,300,-385.10806,318.97333333333336,28.40414377122,100.0,100.0,100.0
